,codigo,x,y,tipo,numero
154,798,44474553,447122095,cruces,14
155,798,44478613,447123170,cruces,22
156,798,44480210,447123527,cruces,22
157,798,44482755,447123609,cruces,24
158,798,44486676,447123713,cruces,30
159,798,44489350,447123498,cruces,34
160,798,44498476,447120406,cruces,40
161,799,44474553,447122095,cruces,1
162,799,44477590,447108659,cruces,27
163,800,44361040,447826938,cruces,1
164,800,44362156,447835997,cruces,21
165,801,44478566,447123329,cruces,2
166,801,44482170,447107421,cruces,26
167,802,44482755,447123609,cruces,2
168,802,44486168,447106340,cruces,38
169,803,44486676,447123713,cruces,2
170,803,44491205,447107869,cruces,26
171,804,44489340,447123452,cruces,4
172,804,44489939,447126105,cruces,4
173,804,44493043,447111432,cruces,28
174,806,44481088,447137603,cruces,3
175,806,44480210,447123527,cruces,5
176,806,44480421,447126867,cruces,5
177,807,44484664,447106746,cruces,1
178,807,44485534,447099951,cruces,11
179,807,44487523,447093715,cruces,13
180,808,44468419,447098400,cruces,1
181,808,44473389,447098707,cruces,7
182,808,44476773,447098141,cruces,11
183,808,44480469,447098618,cruces,13
184,808,44481810,447098721,cruces,15
185,808,44485534,447099951,cruces,17
186,809,44468359,447090808,cruces,4
187,809,44473331,447090688,cruces,4
188,809,44476851,447090435,cruces,8
189,809,44480460,447091756,cruces,10
190,809,44483884,447092532,cruces,18
191,809,44487523,447093715,cruces,18
192,809,44488302,447093960,cruces,18
193,810,44473382,447109796,cruces,4
194,810,44473389,447098490,cruces,22
195,810,44473328,447090336,cruces,32
196,810,44473210,447080403,cruces,40
197,811,44476653,447108912,cruces,2
198,811,44476769,447098551,cruces,16
199,811,44476851,447090435,cruces,24
200,812,44480560,447107856,cruces,2
201,812,44481810,447098721,cruces,22
202,812,44483884,447092532,cruces,26
203,813,44480469,447098618,cruces,2
204,813,44480459,447091364,cruces,10
205,814,44493584,447096285,cruces,1
206,814,44495842,447094922,cruces,3
207,814,44498886,447093084,cruces,5
208,815,44496769,447100480,cruces,2
209,815,44495842,447094922,cruces,10
210,816,44484005,447087058,cruces,2
211,816,44492435,447082058,cruces,10
212,816,44499915,447077622,cruces,18
213,816,44506824,447073273,cruces,22
214,818,44468991,447069717,cruces,2
215,818,44474466,447070724,cruces,6
216,818,44480461,447071827,cruces,10
217,818,44487191,447073066,cruces,18
218,818,44491232,447073810,cruces,24
219,818,44496443,447073457,cruces,26
220,819,44473225,447080285,cruces,2
221,819,44473253,447080406,cruces,2
222,819,44473896,447075123,cruces,6
223,819,44474466,447070724,cruces,10
224,819,44475682,447061759,cruces,24
225,819,44478415,447053742,cruces,30
226,820,44479677,447082661,cruces,2
227,820,44479623,447076004,cruces,8
228,820,44480461,447071827,cruces,12
229,820,44482030,447064137,cruces,16
230,820,44485466,447056586,cruces,20
231,821,44492435,447082058,cruces,2
232,821,44490294,447077644,cruces,6
233,821,44491232,447073810,cruces,8
234,822,44473912,447074996,cruces,1
235,822,44479623,447076004,cruces,3
236,822,44486417,447077048,cruces,7
237,822,44490294,447077644,cruces,23
238,823,44486417,447077048,cruces,1
239,823,44487191,447073066,cruces,3
240,823,44488471,447067214,cruces,9
241,827,44053711,448193800,cruces,2
242,827,44053711,448193800,cruces,2
243,827,44045226,448212809,cruces,16
244,829,44133343,448214121,cruces,2
245,829,44133343,448214121,cruces,2
246,829,44133343,448214121,cruces,2
247,830,44489378,447522155,cruces,2
248,830,44489378,447522155,cruces,2
249,830,44489378,447522155,cruces,2
250,831,44242723,447203640,cruces,2
251,831,44217507,447189439,cruces,12
252,831,44151793,447113009,cruces,36
253,832,44494598,447573944,cruces,12
254,832,44497221,447582036,cruces,20
255,836,44755756,447804109,cruces,24
256,838,45057954,448032336,cruces,2
257,838,45067489,448032097,cruces,10
258,838,45073875,448031771,cruces,14
259,838,45083075,448030822,cruces,14
260,839,45019902,448018931,cruces,
261,839,45039608,448019014,cruces,
262,840,44842095,448051329,cruces,102
263,840,44937017,448014553,cruces,102
264,840,44999468,448015511,cruces,102
265,840,45019780,448014708,cruces,102
266,840,45039522,448013649,cruces,102
267,840,45074821,447998265,cruces,102
268,840,45072412,447997384,cruces,102
269,840,45115360,447932633,cruces,102
270,842,43487687,448031144,cruces,1
271,842,43487687,448031144,cruces,1
272,842,43470450,448020012,cruces,9
273,843,43470450,448020012,cruces,2
274,843,43457343,448040136,cruces,12
275,844,43487687,448031144,cruces,2
276,844,43487687,448031144,cruces,2
277,844,43503251,448039012,cruces,6
278,846,43898594,447965306,cruces,1
279,846,43885851,447961414,cruces,27
280,846,43879800,447941714,cruces,75
281,847,43473028,447888665,cruces,2
282,847,43477004,447915144,cruces,60
283,847,43456579,447927886,cruces,138
284,847,43456579,447927886,cruces,138
285,848,43477004,447915144,cruces,2
286,848,43467306,447909911,cruces,10
287,849,43399263,448026143,cruces,2
